Product Name,Sales,Profit,Quantity,Profit Margin
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624,-4.466,2.0,-2.75
Avery 5,5.76,2.8224,2.0,0.49000000000000005
Xerox 20,6.48,3.1104,1.0,0.4799999999999999
Grip Seal Envelopes,7.072,2.3868,2.0,0.3375
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,7.7,3.157,2.0,0.41
"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",7.8,3.042,4.0,0.38999999999999996
Xerox 1989,7.968,2.6892,2.0,0.3375
4009 Highlighters,8.04,2.7336,6.0,0.34
Stockwell Gold Paper Clips,8.096,3.404,5.0,0.4204545454545454
Newell 308,8.4,2.1,5.0,0.25
