State,Sales,Profit,Quantity,Profit Margin
California,457687.6315,76381.38709999999,7667.0,0.16688540795754492
New York,310876.271,74038.5486,4224.0,0.23816082315269405
Texas,170188.0458,-25729.3563,3724.0,-0.15118192455324614
Washington,138641.27,33402.6517,1883.0,0.24092863329944975
Pennsylvania,116511.914,-15559.9603,2153.0,-0.13354823353086448
Florida,89473.708,-3399.3017000000004,1379.0,-0.0379921853691366
Illinois,80166.101,-12607.887,1845.0,-0.1572720494414466
Ohio,78258.136,-16971.3766,1759.0,-0.2168640535982099
Michigan,76269.614,24463.1876,946.0,0.3207461834014264
Virginia,70636.72,18597.9504,893.0,0.26329011879373787
North Carolina,55603.164,-7490.9122,983.0,-0.13472097019514934
Indiana,53555.36,18382.9363,578.0,0.3432511012903284
Georgia,49095.84,16250.0433,705.0,0.33098615483511434
Kentucky,36591.75,11199.6966,523.0,0.30607163090040784
New Jersey,35764.312,9772.9138,454.0,0.2732588229294052
Arizona,35282.001,-3427.9246,862.0,-0.09715788512108484
Wisconsin,32114.61,8401.8004,463.0,0.2616192567806366
Colorado,32108.118,-6527.8579,693.0,-0.20330864300423962
Tennessee,30661.873,-5341.6936,681.0,-0.17421289299580622
Minnesota,29863.15,10823.1874,331.0,0.36242618076123917
Massachusetts,28634.434,6785.5016000000005,491.0,0.23696999214302614
Delaware,27451.069,9977.3748,367.0,0.3634603373733824
Maryland,23705.523,7031.1788,420.0,0.2966050907208417
Rhode Island,22627.956,7285.6293000000005,199.0,0.3219746980239842
Missouri,22205.15,6436.2105,252.0,0.28985215141532483
Oklahoma,19683.39,4853.956,247.0,0.24660162705712788
Alabama,19510.64,5786.8253,256.0,0.296598435520311
Oregon,17431.15,-1190.4705,499.0,-0.06829558003918272
Nevada,16729.102,3316.7659,168.0,0.19826323612588412
Connecticut,13384.357,3511.4918,281.0,0.2623579003459038
Arkansas,11678.13,4008.6871,240.0,0.3432644695683299
Utah,11220.056,2546.5335,219.0,0.2269626372631295
Mississippi,10771.34,3172.9762,221.0,0.29457580950930895
Louisiana,9217.03,2196.1023,156.0,0.2382657211704855
Vermont,8929.369999999999,2244.9782999999998,50.0,0.25141508303497334
South Carolina,8481.71,1769.0566,172.0,0.2085731061307213
Nebraska,7464.93,2037.0942000000002,136.0,0.27288858703296615
New Hampshire,7292.524,1706.5028,127.0,0.2340071558214961
Montana,5589.352,1833.3285,56.0,0.328003765016052
New Mexico,4783.522,1157.1161,151.0,0.24189626388255347
Iowa,4579.76,1183.8119,112.0,0.25848775918388733
Idaho,4382.486,826.7231,64.0,0.18864249651909898
Kansas,2914.31,836.4435,74.0,0.28701253469946575
District of Columbia,2865.02,1059.5892999999999,40.0,0.369836615451201
Wyoming,1603.136,100.196,4.0,0.0625
South Dakota,1315.56,394.8283,42.0,0.30012184925050933
Maine,1270.53,454.4862,35.0,0.35771386744114664
West Virginia,1209.824,185.9216,18.0,0.15367656783135397
North Dakota,919.91,230.1497,30.0,0.25018719222532637
